time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,5,3,9km/h,69%,0%,Clear.
01.00AM,5,3,9km/h,68%,0%,Clear.
02.00AM,5,3,9km/h,67%,0%,Clear.
03.00AM,5,3,9km/h,66%,0%,Clear.
04.00AM,5,3,9km/h,63%,0%,Clear.
05.00AM,5,3,9km/h,61%,0%,Clear.
06.00AM,5,3,9km/h,61%,0%,Sunny.
07.00AM,6,3,9km/h,61%,0%,Sunny.
08.00AM,7,5,9km/h,57%,0%,Sunny.
09.00AM,9,7,9km/h,51%,0%,Sunny.
10.00AM,11,10,8km/h,45%,0%,Sunny.
11.00AM,13,13,7km/h,41%,0%,Sunny.
12.00PM,14,14,8km/h,38%,0%,Sunny.
13.00PM,14,14,9km/h,37%,0%,Sunny.
14.00PM,13,13,9km/h,38%,0%,Sunny.
15.00PM,12,11,8km/h,44%,0%,Sunny.
16.00PM,9,9,6km/h,57%,0%,Sunny.
17.00PM,8,7,5km/h,65%,0%,Sunny.
18.00PM,6,5,6km/h,70%,0%,Clear.
19.00PM,5,3,8km/h,69%,0%,Clear.
20.00PM,5,3,9km/h,65%,0%,Clear.
21.00PM,5,3,8km/h,64%,0%,Clear.
22.00PM,5,3,8km/h,61%,0%,Clear.
23.00PM,5,3,8km/h,57%,0%,Clear.
